Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DrewBrasher.OrchardCore.Blazor\DrewBrasher.OrchardCore.Blazor.csproj,File,DrewBrasher.OrchardCore.Blazor\DrewBrasher.OrchardCore.Blazor.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DrewBrasher.OrchardCore.CmsWeb\DrewBrasher.OrchardCore.CmsWeb.csproj,File,DrewBrasher.OrchardCore.CmsWeb\DrewBrasher.OrchardCore.CmsWeb.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DrewBrasher.OrchardCore.CmsWeb\DrewBrasher.OrchardCore.CmsWeb.csproj,File,DrewBrasher.OrchardCore.CmsWeb\Program.cs,19,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DrewBrasher.OrchardCore.ContentWarning\DrewBrasher.OrchardCore.ContentWarning.csproj,File,DrewBrasher.OrchardCore.ContentWarning\DrewBrasher.OrchardCore.ContentWarning.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DrewBrasher.OrchardCore.ExternalData\DrewBrasher.OrchardCore.ExternalData.csproj,File,DrewBrasher.OrchardCore.ExternalData\DrewBrasher.OrchardCore.ExternalData.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DrewBrasher.OrchardCore.ExternalData\DrewBrasher.OrchardCore.ExternalData.csproj,File,DrewBrasher.OrchardCore.ExternalData\Shortcodes\ExternalContentShortcodeProvider.cs,31,8,T:System.Net.Http.HttpContent,,,,,content = response.Content.ReadAsStringAsync().Result;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DrewBrasher.OrchardCore.ExternalData\DrewBrasher.OrchardCore.ExternalData.csproj,File,DrewBrasher.OrchardCore.ExternalData\Startup.cs,12,8,M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,services.AddHttpClient();
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Demo\OCRazorModuleDemo\OCRazorModuleDemo.csproj,File,Demo\OCRazorModuleDemo\OCRazorModuleDemo.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Demo\RazorDemo\RazorDemo.csproj,File,Demo\RazorDemo\RazorDemo.csproj,,,Microsoft.AspNetCore.Components.Web 8.0.14,,,,,"Microsoft.AspNetCore.Components.Web, 8.0.14  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Demo\RazorDemo\RazorDemo.csproj,File,Demo\RazorDemo\RazorDemo.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
